sentence_id,method,method_full_name,error_type,source_raw,target_raw,gold_tokenization,prediction_tokenization,local_gold_tokens,local_pred_tokens,local_span_start,local_span_end,local_raw_text,gold_internal_boundaries,pred_internal_boundaries,extra_boundaries,missing_boundaries,explanation,is_short_sentence,is_natural_example_candidate,notes,chunk_index
50,D,D Direct segmentation,over,其实，以前人们认为吸烟是吸烟人的权力，或者一种爱好，所以，吸烟者也无管什么地方过瘾的话就吸烟了。,其实，以前人们认为吸烟是吸烟人的权利，或者一种爱好，所以，吸烟者也不管什么地方，过瘾的话就吸烟了。,其实 ， 以前 人们 认为 吸烟 是 吸烟 人 的 权力 ， 或者 一 种 爱好 ， 所以 ， 吸烟者 也 无管 什么 地方 过瘾 的 话 就 吸烟 了 。,其实 ， 以前 人们 认为 吸烟 是 吸烟 人 的 权力 ， 或者 一 种 爱好 ， 所以 ， 吸烟者 也 无 管 什么 地方 过瘾 的 话 就 吸烟 了 。,无管,无 / 管,33,35,无管,[],[34],[34],[],"The prediction inserts an extra boundary inside the gold token [无管], producing [无 / 管].",False,False,,1
56,D,D Direct segmentation,under,其中，我最喜欢听流行歌曲种类中歌曲速度比较缓慢、有感情、能代表爱情种类的歌曲，想必一些和我同年龄的人，也和我一样喜欢这种流行歌曲，但也有一部分人不喜欢流行歌曲。,其中，我最喜欢听流行歌曲中歌曲速度比较缓慢、唱得有感情、能代表爱情的歌曲，想必一些和我同年龄的人，也和我一样喜欢这种流行歌曲，但也有一部分人不喜欢这样的流行歌曲。,其中 ， 我 最 喜欢 听 流行 歌曲 种类 中 歌曲 速度 比较 缓慢 、 有 感情 、 能 代表 爱情 种类 的 歌曲 ， 想必 一些 和 我 同 年龄 的 人 ， 也 和 我 一样 喜欢 这种 流行 歌曲 ， 但 也 有 一部分 人 不 喜欢 流行 歌曲 。,其中 ， 我 最 喜欢 听 流行 歌曲 种类 中 歌曲 速度 比较 缓慢 、 有 感情 、 能 代表 爱情 种类 的 歌曲 ， 想必 一些 和 我 同 年龄 的 人 ， 也 和 我 一样 喜欢 这种 流行歌曲 ， 但 也 有 一部分 人 不 喜欢 流行歌曲 。,流行 / 歌曲,流行歌曲,60,64,流行歌曲,[62],[],[],[62],"The prediction misses the gold boundary between [流行] and [歌曲], merging them into [流行歌曲].",False,True,,1
56,D,D Direct segmentation,under,其中，我最喜欢听流行歌曲种类中歌曲速度比较缓慢、有感情、能代表爱情种类的歌曲，想必一些和我同年龄的人，也和我一样喜欢这种流行歌曲，但也有一部分人不喜欢流行歌曲。,其中，我最喜欢听流行歌曲中歌曲速度比较缓慢、唱得有感情、能代表爱情的歌曲，想必一些和我同年龄的人，也和我一样喜欢这种流行歌曲，但也有一部分人不喜欢这样的流行歌曲。,其中 ， 我 最 喜欢 听 流行 歌曲 种类 中 歌曲 速度 比较 缓慢 、 有 感情 、 能 代表 爱情 种类 的 歌曲 ， 想必 一些 和 我 同 年龄 的 人 ， 也 和 我 一样 喜欢 这种 流行 歌曲 ， 但 也 有 一部分 人 不 喜欢 流行 歌曲 。,其中 ， 我 最 喜欢 听 流行 歌曲 种类 中 歌曲 速度 比较 缓慢 、 有 感情 、 能 代表 爱情 种类 的 歌曲 ， 想必 一些 和 我 同 年龄 的 人 ， 也 和 我 一样 喜欢 这种 流行歌曲 ， 但 也 有 一部分 人 不 喜欢 流行歌曲 。,流行 / 歌曲,流行歌曲,75,79,流行歌曲,[77],[],[],[77],"The prediction misses the gold boundary between [流行] and [歌曲], merging them into [流行歌曲].",False,True,,2
60,D,D Direct segmentation,over,由于烟会伤害人们的健康与自然环境。这种小部分的吸烟者应该在某个专门地方吸烟，这样一来也不会影响到别人的健康和自然空气我相信在密集的商业城也好，公园也好等，都会更干净。并对青年们也是一个良好的习惯。,由于吸烟会伤害人们的健康与破坏自然环境，所以那些小部分的吸烟者应该在某个专门的地方吸烟，这样一来不会影响到别人的健康和自然空气。我相信在密集的商业区也好，公园等也好，都会更干净。并且这对青年们来说也是一个良好的习惯。,由于 烟 会 伤害 人们 的 健康 与 自然环境 。 这种 小部分 的 吸烟者 应该 在 某个 专门 地方 吸烟 ， 这样一来 也 不 会 影响 到 别人 的 健康 和 自然 空气 我 相信 在 密集 的 商业城 也好 ， 公园 也好 等 ， 都 会 更 干净 。 并 对 青年 们 也 是 一个 良好 的 习惯 。,由于 烟 会 伤害 人们 的 健康 与 自然环境 。 这种 小 部分 的 吸烟者 应该 在 某个 专门 地方 吸烟 ， 这样一来 也 不 会 影响 到 别人 的 健康 和 自然 空气 我 相信 在 密集 的 商业城 也好 ， 公园 也好 等 ， 都 会 更 干净 。 并 对 青年 们 也 是 一个 良好 的 习惯 。,小部分,小 / 部分,19,22,小部分,[],[20],[20],[],"The prediction inserts an extra boundary inside the gold token [小部分], producing [小 / 部分].",False,False,,1
70,D,D Direct segmentation,over,对公众利益产生的影响也不能忽视。有关调查表明，间接吸烟对身康的危害比吸烟者严重得多。因此，吸烟者为了保护非吸烟者的健康尽量不应该在非吸烟者面前抽烟。,对公众利益产生的影响也不能忽视。有关调查表明，间接吸烟对身体健康的危害比对吸烟者的严重得多。因此，吸烟者为了保护非吸烟者的健康不应该在非吸烟者面前抽烟。,对 公众 利益 产生 的 影响 也 不能 忽视 。 有关 调查 表明 ， 间接 吸烟 对 身 康 的 危害 比 吸烟者 严重 得 多 。 因此 ， 吸烟者 为了 保护 非吸烟者 的 健康 尽量 不 应该 在 非吸烟者 面前 抽烟 。,对 公众 利益 产生 的 影响 也 不 能 忽视 。 有关 调查 表明 ， 间接 吸烟 对 身 康 的 危害 比 吸烟者 严重 得 多 。 因此 ， 吸烟者 为了 保护 非吸烟者 的 健康 尽量 不 应该 在 非吸烟者 面前 抽烟 。,不能,不 / 能,11,13,不能,[],[12],[12],[],"The prediction inserts an extra boundary inside the gold token [不能], producing [不 / 能].",False,False,,1
72,D,D Direct segmentation,under,一听说贵公司正在征聘导游，本人便有意思想加入。,一听说贵公司正在征聘导游，本人便有意愿加入。,一 听说 贵公司 正在 征聘 导游 ， 本人 便 有 意思 想 加入 。,一 听说 贵公司 正在 征聘 导游 ， 本人 便 有意思 想 加入 。,有 / 意思,有意思,16,19,有意思,[17],[],[],[17],"The prediction misses the gold boundary between [有] and [意思], merging them into [有意思].",False,True,,1
73,D,D Direct segmentation,under,现在还是在中国实现父母的学习要求，不知何时可以让他们开心呢？作为一个小孩子，让父母开心是专心学习做为一个成长的人，我该是为他们全心全力地付出全部，因为他们在我们心中是至高无上的父母，不能相比的老师。,[缺失成分]现在还是在中国去满足父母的学习要求，不知何时可以让他们开心呢？作为小孩，让父母开心就是要专心学习，做一个不断成长的人，为他们全心全力地付出，因为他们在我心中既是至高无上的父母，也是旁人不能相比的老师。,现在 还是 在 中国 实现 父母 的 学习 要求 ， 不知 何时 可以 让 他们 开心 呢 ？ 作为 一个 小孩子 ， 让 父母 开心 是 专心 学习 做为 一个 成长 的 人 ， 我 该 是 为 他们 全心全力 地 付出 全部 ， 因为 他们 在 我们 心中 是 至高无上 的 父母 ， 不 能 相比 的 老师 。,现在 还是 在 中国 实现 父母 的 学习 要求 ， 不知 何时 可以 让 他们 开心 呢 ？ 作为 一个 小孩子 ， 让 父母 开心 是 专心 学习 做为 一个 成长 的 人 ， 我 该 是 为 他们 全心全力 地 付出 全部 ， 因为 他们 在 我们 心中 是 至高无上 的 父母 ， 不能 相比 的 老师 。,不 / 能,不能,91,93,不能,[92],[],[],[92],"The prediction misses the gold boundary between [不] and [能], merging them into [不能].",False,False,,1
74,D,D Direct segmentation,over,这样的恶循环没完没了。,这样的恶性循环没完没了。,这样 的 恶循环 没完没了 。,这样 的 恶 循环 没完没了 。,恶循环,恶 / 循环,3,6,恶循环,[],[4],[4],[],"The prediction inserts an extra boundary inside the gold token [恶循环], producing [恶 / 循环].",True,True,,1
94,D,D Direct segmentation,over,其次，吸烟对公众的人也有所影响。他们抽出后的烟，别人会吸收，也跟他们一样受到影响。特别是对小孩子，产妇等一些身体不是很健康，体康力不强的人。,其次，吸烟对公众也有所影响。他们抽出后的烟，别人会吸入，也跟他们一样受到影响。特别是对小孩子、产妇等一些身体不是很健康，抵抗力不强的人。,其次 ， 吸烟 对 公众 的 人 也 有所 影响 。 他们 抽出 后 的 烟 ， 别人 会 吸收 ， 也 跟 他们 一样 受到 影响 。 特别 是 对 小孩子 ， 产妇 等 一些 身体 不 是 很 健康 ， 体康力 不 强 的 人 。,其次 ， 吸烟 对 公众 的 人 也 有所 影响 。 他们 抽出 后 的 烟 ， 别人 会 吸收 ， 也 跟 他们 一样 受到 影响 。 特别 是 对 小孩子 ， 产妇 等 一些 身体 不 是 很 健康 ， 体 康 力 不 强 的 人 。,体康力,体 / 康 / 力,62,65,体康力,[],"[63, 64]","[63, 64]",[],"The prediction inserts an extra boundary inside the gold token [体康力], producing [体 / 康 / 力].",False,False,,1
97,D,D Direct segmentation,over,这座岛屿的形状北到南跟地瓜差不多。因为在“地瓜”的中心北到南都有高山。二十万多人口住在大部分最发过的西海岸。,这座岛屿从北到南的形状跟地瓜差不多。因为在“地瓜”的中心从北到南都有高山。二十多万人口大部分住在最发达的西海岸。,这 座 岛屿 的 形状 北 到 南 跟 地瓜 差不多 。 因为 在 “ 地瓜 ” 的 中心 北 到 南 都 有 高山 。 二十万 多 人口 住 在 大部分 最 发过 的 西 海岸 。,这 座 岛屿 的 形状 北 到 南 跟 地瓜 差不多 。 因为 在 “ 地瓜 ” 的 中心 北 到 南 都 有 高山 。 二十万 多 人口 住 在 大部分 最 发 过 的 西 海岸 。,发过,发 / 过,47,49,发过,[],[48],[48],[],"The prediction inserts an extra boundary inside the gold token [发过], producing [发 / 过].",False,True,,1
109,D,D Direct segmentation,over,父母的一举一动，品格、人格态度足而影响他们的孩子。,父母的一举一动、品格和人格态度足以影响他们的孩子一生。,父母 的 一举一动 ， 品格 、 人格 态度 足而 影响 他们 的 孩子 。,父母 的 一举一动 ， 品格 、 人格 态度 足 而 影响 他们 的 孩子 。,足而,足 / 而,15,17,足而,[],[16],[16],[],"The prediction inserts an extra boundary inside the gold token [足而], producing [足 / 而].",False,True,,1
110,D,D Direct segmentation,under,再举个例子，一位歌手说，他把自己挣的钱的百分之五十献给希望工程，帮助没钱的供他们上学。,再举个例子，一位歌手说，他把自己挣的钱的百分之五十捐给希望工程，帮助没钱的人，供他们上学。,再 举 个 例子 ， 一 位 歌手 说 ， 他 把 自己 挣 的 钱 的 百分之五十 献 给 希望 工程 ， 帮助 没 钱 的 供 他们 上学 。,再 举 个 例子 ， 一 位 歌手 说 ， 他 把 自己 挣 的 钱 的 百分之五十 献给 希望 工程 ， 帮助 没 钱 的 供 他们 上学 。,献 / 给,献给,25,27,献给,[26],[],[],[26],"The prediction misses the gold boundary between [献] and [给], merging them into [献给].",False,True,,1
111,D,D Direct segmentation,under,她有两个姐姐、一个妹妹和西个哥哥。但是，在她的家只有西个养：父母、妹妹和她。他们有四个猫。,她有两个姐姐、一个妹妹和四个哥哥。但是，在她的家里只有四个人养猫：父母、妹妹和她。他们有四只猫。,她 有 两 个 姐姐 、 一个 妹妹 和 西 个 哥哥 。 但是 ， 在 她 的 家 只 有 西 个 养 ： 父母 、 妹妹 和 她 。 他们 有 四 个 猫 。,她 有 两 个 姐姐 、 一个 妹妹 和 西 个 哥哥 。 但是 ， 在 她 的 家 只 有 西个养 ： 父母 、 妹妹 和 她 。 他们 有 四 个 猫 。,西 / 个 / 养,西个养,26,29,西个养,"[27, 28]",[],[],"[27, 28]","The prediction misses the gold boundary between [西] and [个], merging them into [西个养].",False,True,,1
122,D,D Direct segmentation,over,只要把花在绿色食品的钱，寄给饥饿的人民的话，在地球上再也不会出现因饥饿而死的悲惨的事情，让他们找更好的未来。,只要把花在绿色食品的钱，发给饥饿的人民的话，在地球上再也不会出现因饥饿而死的悲惨的事情，给他们更好的未来。,只要 把 花 在 绿色 食品 的 钱 ， 寄给 饥饿 的 人民 的话 ， 在 地球 上 再 也 不 会 出现 因 饥饿 而 死 的 悲惨 的 事情 ， 让 他们 找 更 好 的 未来 。,只要 把 花 在 绿色 食品 的 钱 ， 寄 给 饥饿 的 人民 的话 ， 在 地球 上 再 也 不 会 出现 因 饥饿 而 死 的 悲惨 的 事情 ， 让 他们 找 更 好 的 未来 。,寄给,寄 / 给,12,14,寄给,[],[13],[13],[],"The prediction inserts an extra boundary inside the gold token [寄给], producing [寄 / 给].",False,True,,1
135,D,D Direct segmentation,over,从我的经验来看，我父母很喜欢听音乐，他们无论去哪里都拿着磁带而放音乐。,从我的经验来看，我父母很喜欢听音乐，他们无论去哪里都拿着磁带放音乐。,从 我 的 经验 来看 ， 我 父母 很 喜欢 听 音乐 ， 他们 无论 去 哪里 都 拿 着 磁带 而 放 音乐 。,从 我 的 经验 来 看 ， 我 父母 很 喜欢 听 音乐 ， 他们 无论 去 哪里 都 拿 着 磁带 而 放 音乐 。,来看,来 / 看,5,7,来看,[],[6],[6],[],"The prediction inserts an extra boundary inside the gold token [来看], producing [来 / 看].",False,True,,1
137,D,D Direct segmentation,over,抱着自足自己的情况，像耕农田似的，人们默默地培养自己的人生。,抱着自给自足的心态，像耕农田似的，人们默默地耕耘自己的人生。,抱 着 自足自己 的 情况 ， 像 耕 农田 似的 ， 人们 默默 地 培养 自己 的 人生 。,抱 着 自 足 自己 的 情况 ， 像 耕 农田 似的 ， 人们 默默 地 培养 自己 的 人生 。,自足自己,自 / 足 / 自己,2,6,自足自己,[],"[3, 4]","[3, 4]",[],"The prediction inserts an extra boundary inside the gold token [自足自己], producing [自 / 足 / 自己].",False,True,,1
153,D,D Direct segmentation,over,久后，我不想是律师。律师有多收入，但是我不喜欢法学。我不想做这个工作，因为我不想多收入。我想做好工作。有人说：金钱难买幸福，但它不无小補。,日后，我不想做律师。律师有高收入，但是我不喜欢法学。我不想做这个工作，因为我不想要高收入，我只想做好工作，然而有人说：“金钱难买幸福，但它不无作用。”,久后 ， 我 不 想 是 律师 。 律师 有 多 收入 ， 但是 我 不 喜欢 法学 。 我 不 想 做 这个 工作 ， 因为 我 不 想 多 收入 。 我 想 做 好 工作 。 有 人 说 ： 金钱 难 买 幸福 ， 但 它 不无 小補 。,久 后 ， 我 不 想 是 律师 。 律师 有 多 收入 ， 但是 我 不 喜欢 法学 。 我 不 想 做 这个 工作 ， 因为 我 不 想 多 收入 。 我 想 做 好 工作 。 有 人 说 ： 金钱 难 买 幸福 ， 但 它 不无 小 補 。,久后,久 / 后,0,2,久后,[],[1],[1],[],"The prediction inserts an extra boundary inside the gold token [久后], producing [久 / 后].",False,True,,1
153,D,D Direct segmentation,over,久后，我不想是律师。律师有多收入，但是我不喜欢法学。我不想做这个工作，因为我不想多收入。我想做好工作。有人说：金钱难买幸福，但它不无小補。,日后，我不想做律师。律师有高收入，但是我不喜欢法学。我不想做这个工作，因为我不想要高收入，我只想做好工作，然而有人说：“金钱难买幸福，但它不无作用。”,久后 ， 我 不 想 是 律师 。 律师 有 多 收入 ， 但是 我 不 喜欢 法学 。 我 不 想 做 这个 工作 ， 因为 我 不 想 多 收入 。 我 想 做 好 工作 。 有 人 说 ： 金钱 难 买 幸福 ， 但 它 不无 小補 。,久 后 ， 我 不 想 是 律师 。 律师 有 多 收入 ， 但是 我 不 喜欢 法学 。 我 不 想 做 这个 工作 ， 因为 我 不 想 多 收入 。 我 想 做 好 工作 。 有 人 说 ： 金钱 难 买 幸福 ， 但 它 不无 小 補 。,小補,小 / 補,66,68,小補,[],[67],[67],[],"The prediction inserts an extra boundary inside the gold token [小補], producing [小 / 補].",False,True,,2
160,D,D Direct segmentation,under,但是人们只能看农药的不好处。,但是人们只能看到农药的不好之处。,但是 人们 只能 看 农药 的 不好 处 。,但是 人们 只能 看 农药 的 不好处 。,不好 / 处,不好处,10,13,不好处,[12],[],[],[12],"The prediction misses the gold boundary between [不好] and [处], merging them into [不好处].",True,True,,1
166,D,D Direct segmentation,over,而且最近肥胖的人越来越增长，要减肥的人越来数多。这都是生活丰盛带来的一种社会现象。,而且最近肥胖的人越来越多，要减肥的人也越来越多。这都是生活富足带来的一种社会现象。,而且 最近 肥胖 的 人 越来越 增长 ， 要 减肥 的 人 越来数 多 。 这 都 是 生活 丰盛 带来 的 一 种 社会 现象 。,而且 最近 肥胖 的 人 越来越 增长 ， 要 减肥 的 人 越来 数 多 。 这 都 是 生活 丰盛 带来 的 一 种 社会 现象 。,越来数,越来 / 数,19,22,越来数,[],[21],[21],[],"The prediction inserts an extra boundary inside the gold token [越来数], producing [越来 / 数].",False,True,,1
172,D,D Direct segmentation,over,不是请假，而且不上课、不上班、没有学习、没有工作那样的人是一种病。,不只请假，而且不上课、不上班、不学习、没有工作那样的人是一种病。,不是 请假 ， 而且 不 上课 、 不 上班 、 没有 学习 、 没有 工作 那样 的 人 是 一 种 病 。,不 是 请假 ， 而且 不 上课 、 不 上班 、 没有 学习 、 没有 工作 那样 的 人 是 一 种 病 。,不是,不 / 是,0,2,不是,[],[1],[1],[],"The prediction inserts an extra boundary inside the gold token [不是], producing [不 / 是].",False,True,,1
174,D,D Direct segmentation,over,我要介绍我的最的朋友。她是一个中国人，我们有共同语言，我们都喜欢做得饭，喜欢常客，喜欢看书和看电影。她性格内向，可是她很幽默。一般来说，我们常常不见面，因为她住在洛桑，但是我们每个晚上打电话。我希望她是我的永远朋友。,我要介绍我最好的朋友。她是一个中国人，我们有共同语言，我们都喜欢做饭，喜欢唱歌，喜欢看书和看电影。她性格内向，可是她很幽默。一般来说，我们不常常见面，因为她住在洛桑，但是我们每个晚上都打电话。我希望她会是我永远的朋友。,我 要 介绍 我 的 最 的 朋友 。 她 是 一个 中国 人 ， 我们 有 共同语言 ， 我们 都 喜欢 做得饭 ， 喜欢 常客 ， 喜欢 看 书 和 看 电影 。 她 性格 内向 ， 可是 她 很 幽默 。 一般来说 ， 我们 常常 不 见面 ， 因为 她 住 在 洛桑 ， 但是 我们 每个 晚上 打电话 。 我 希望 她 是 我 的 永远 朋友 。,我 要 介绍 我 的 最 的 朋友 。 她 是 一个 中国 人 ， 我们 有 共同语言 ， 我们 都 喜欢 做 得 饭 ， 喜欢 常客 ， 喜欢 看 书 和 看 电影 。 她 性格 内向 ， 可是 她 很 幽默 。 一般来说 ， 我们 常常 不 见面 ， 因为 她 住 在 洛桑 ， 但是 我们 每个 晚上 打电话 。 我 希望 她 是 我 的 永远 朋友 。,做得饭,做 / 得 / 饭,32,35,做得饭,[],"[33, 34]","[33, 34]",[],"The prediction inserts an extra boundary inside the gold token [做得饭], producing [做 / 得 / 饭].",False,False,,1
